"Год","Количество вакансий"
"2010","791"
"2011","1040"
"2012","1363"
"2013","1743"
"2014","1839"
"2015","3371"
"2016","3137"
"2017","2843"
"2018","3120"
"2019","2754"
"2020","2219"
"2021","1169"
"2022","1052"
"",""
"Год","Зарплата"
"2010","37669"
"2011","49786"
"2012","49468"
"2013","44992"
"2014","43492"
"2015","44996"
"2016","46912"
"2017","47764"
"2018","51661"
"2019","56930"
"2020","63574"
"2021","67918"
"2022","60739"
